policy_id,customer_id,policy_type,coverage_amount,monthly_premium,start_date,status
PC00207-02,C00207,Life,775881,535.8,2020-08-13,Active
PC00208-01,C00208,Investment,2273985,4347.81,2022-01-19,Active
PC00209-01,C00209,Accident,1772545,2425.22,2021-07-29,Active
PC00210-01,C00210,Health,3618299,3629.84,2020-09-01,Active
PC00211-01,C00211,Life,4590309,3584.73,2020-09-18,Active
PC00211-02,C00211,Investment,2716409,1634.28,2021-07-03,Active
PC00212-01,C00212,Life,4518650,6048.11,2022-12-28,Active
PC00212-02,C00212,Investment,1747379,1463.5,2019-08-16,Active
PC00213-01,C00213,Life,3270751,5564.41,2020-06-05,Active
PC00213-02,C00213,Life,480246,658.25,2022-10-22,Active
PC00214-01,C00214,Investment,4404612,8766.97,2019-07-24,Active
PC00214-02,C00214,Accident,1890945,1938.29,2019-11-15,Active
PC00214-03,C00214,Health,3850659,6911.43,2020-02-03,Active
PC00215-01,C00215,Investment,1266191,1037.86,2018-06-11,Active
PC00215-02,C00215,Life,389720,350.51,2019-01-20,Active
PC00215-03,C00215,Health,3922095,4475.27,2021-09-15,Active
PC00216-01,C00216,Investment,1891247,3686.26,2019-05-06,Active
PC00217-01,C00217,Life,1951218,2016.11,2022-07-12,Active
PC00217-02,C00217,Accident,900259,1500.28,2019-07-03,Active
PC00218-01,C00218,Life,4793435,5127.3,2018-08-16,Active
PC00218-02,C00218,Accident,885505,566.93,2020-03-08,Active
PC00219-01,C00219,Health,913314,1376.53,2019-01-29,Active
PC00220-01,C00220,Accident,1098252,1471.39,2018-03-13,Active
PC00221-01,C00221,Life,4490475,2764.05,2021-06-04,Active
PC00221-02,C00221,Life,3270236,3718.74,2022-07-08,Active
PC00221-03,C00221,Life,4678811,4558.87,2021-08-20,Active
PC00222-01,C00222,Investment,2700244,3281.85,2019-05-15,Active
PC00222-02,C00222,Health,3506095,2667.93,2018-09-17,Active
PC00223-01,C00223,Life,4877595,4955.35,2018-11-28,Active
PC00223-02,C00223,Accident,4090400,5559.71,2020-07-16,Active
PC00223-03,C00223,Investment,1518747,1761.51,2020-05-15,Active
PC00224-01,C00224,Accident,4079861,3136.18,2020-07-26,Active
PC00225-01,C00225,Accident,2416481,4150.93,2018-10-29,Active
PC00225-02,C00225,Life,3739582,4155.89,2018-06-19,Active
PC00225-03,C00225,Life,2226513,3132.63,2019-02-14,Active
PC00226-01,C00226,Investment,4382278,2309.06,2020-07-01,Active
PC00226-02,C00226,Life,4120854,6896.49,2022-09-23,Active
PC00227-01,C00227,Health,1788782,3484.92,2018-03-20,Active
PC00227-02,C00227,Life,3896116,4652.47,2018-04-10,Active
PC00228-01,C00228,Health,3625219,4644.37,2022-10-24,Active
PC00228-02,C00228,Health,1046963,1809.36,2018-10-02,Active
PC00229-01,C00229,Life,4644216,6029.8,2018-07-19,Active
PC00229-02,C00229,Health,4849620,9667.26,2019-04-23,Active
PC00230-01,C00230,Investment,461749,840.87,2019-07-31,Active
PC00230-02,C00230,Health,3966092,6131.16,2021-03-18,Active
PC00231-01,C00231,Accident,4600996,5009.31,2021-05-30,Active
PC00231-02,C00231,Accident,3012742,3365.67,2021-07-09,Active
PC00232-01,C00232,Life,1176327,2085.17,2019-01-10,Active
PC00232-02,C00232,Life,2558343,4450.45,2020-10-27,Active
PC00232-03,C00232,Accident,914255,591.62,2022-05-05,Active
PC00233-01,C00233,Accident,4123708,4621.08,2022-06-02,Active
PC00234-01,C00234,Life,1410667,932.94,2019-11-20,Active
PC00234-02,C00234,Life,2895550,1579.35,2022-09-20,Active
PC00235-01,C00235,Health,228042,369.51,2022-05-15,Active
PC00235-02,C00235,Accident,3481075,6367.66,2021-05-20,Active
PC00236-01,C00236,Accident,3605174,2824.2,2022-09-21,Active
PC00237-01,C00237,Health,1448006,753.19,2021-08-30,Lapsed
PC00237-02,C00237,Investment,4443628,4632.25,2018-12-30,Active
PC00237-03,C00237,Accident,1453576,1156.52,2022-07-17,Active
PC00238-01,C00238,Life,4846043,2841.15,2021-06-05,Active
PC00238-02,C00238,Health,1325113,1920.12,2022-04-11,Active
PC00239-01,C00239,Investment,2024896,3320.15,2019-05-15,Active
PC00239-02,C00239,Accident,1548950,997.59,2019-02-08,Active
PC00240-01,C00240,Investment,497726,249.47,2022-05-17,Active
PC00241-01,C00241,Health,3571479,3112.36,2018-04-09,Active
PC00241-02,C00241,Accident,1195161,1754.25,2019-09-14,Active
PC00241-03,C00241,Life,1427260,2263.88,2021-08-24,Active
PC00242-01,C00242,Health,4795948,6569.69,2019-01-30,Active
PC00242-02,C00242,Accident,2586230,2275.52,2021-10-21,Active
PC00243-01,C00243,Health,2187357,1667.25,2020-07-20,Active
PC00243-02,C00243,Accident,4621642,2382.13,2018-02-03,Active
PC00243-03,C00243,Accident,4090382,3347.27,2018-04-19,Active
PC00244-01,C00244,Investment,1207687,1809.33,2021-09-27,Active
PC00245-01,C00245,Health,2209854,1835.17,2019-11-07,Active
PC00246-01,C00246,Health,4828546,3863.3,2019-10-27,Active
PC00247-01,C00247,Accident,2339563,3484.48,2019-10-12,Active
PC00247-02,C00247,Life,1152567,1632.67,2018-09-02,Lapsed
PC00247-03,C00247,Accident,2977169,3315.52,2019-05-06,Active
PC00248-01,C00248,Investment,575840,813.0,2019-10-17,Active
PC00248-02,C00248,Health,4436501,4122.84,2022-01-06,Active
PC00248-03,C00248,Life,200290,363.12,2022-01-18,Active
PC00249-01,C00249,Life,4458872,8378.71,2021-12-15,Active
PC00250-01,C00250,Investment,1431839,2341.59,2022-08-10,Active
PC00250-02,C00250,Life,3120627,3956.91,2020-08-28,Active
PC00251-01,C00251,Life,3486387,2460.21,2019-01-27,Active
PC00251-02,C00251,Health,907432,1686.27,2018-01-22,Active
PC00252-01,C00252,Investment,1415099,2374.29,2022-03-06,Active
PC00253-01,C00253,Health,1398060,702.06,2021-06-12,Active
PC00253-02,C00253,Life,4090821,4494.59,2022-03-21,Active
PC00254-01,C00254,Accident,211901,158.19,2018-11-07,Active
PC00254-02,C00254,Investment,4203568,3586.91,2019-03-03,Active
PC00255-01,C00255,Life,1200318,865.31,2018-12-11,Active
PC00255-02,C00255,Health,860368,1301.22,2019-01-28,Active
PC00255-03,C00255,Accident,1472345,2336.87,2019-01-17,Active
PC00256-01,C00256,Health,2679821,2273.23,2022-08-14,Active
PC00257-01,C00257,Health,3013159,2612.36,2020-10-25,Active
PC00257-02,C00257,Health,640407,1065.23,2019-02-06,Active
PC00258-01,C00258,Accident,2072752,3251.17,2022-04-03,Active
PC00259-01,C00259,Health,1651616,1025.02,2019-03-08,Active
PC00259-02,C00259,Accident,1065381,598.21,2022-08-10,Active
PC00259-03,C00259,Accident,548269,317.37,2019-04-12,Active
PC00260-01,C00260,Life,1536862,2069.29,2021-08-07,Active
PC00261-01,C00261,Health,1233669,1621.61,2020-06-23,Active
PC00261-02,C00261,Life,2649243,4442.87,2019-03-29,Active
PC00261-03,C00261,Investment,808146,881.18,2021-05-22,Active
PC00262-01,C00262,Investment,1123315,592.83,2020-02-18,Active
PC00262-02,C00262,Life,818736,997.48,2018-03-14,Active
PC00263-01,C00263,Investment,3608990,3875.98,2019-10-17,Active
PC00264-01,C00264,Investment,4326217,4985.2,2022-11-18,Active
PC00265-01,C00265,Investment,572405,1109.62,2021-09-17,Active
PC00266-01,C00266,Health,2637931,4319.89,2018-12-13,Active
PC00266-02,C00266,Health,2973745,4151.27,2021-08-07,Active
PC00267-01,C00267,Life,4622435,7206.37,2020-08-28,Active
PC00268-01,C00268,Investment,3066321,5778.54,2022-12-27,Active
PC00268-02,C00268,Life,760147,697.97,2022-02-18,Active
PC00268-03,C00268,Health,2699246,4683.69,2022-06-14,Active
PC00269-01,C00269,Life,2850403,3625.03,2020-03-04,Active
PC00269-02,C00269,Life,2265560,1859.61,2020-12-05,Active
PC00269-03,C00269,Investment,1855761,1051.97,2020-02-21,Active
PC00270-01,C00270,Health,1230399,808.53,2022-08-27,Active
PC00270-02,C00270,Life,4481923,4430.36,2018-04-03,Active
PC00270-03,C00270,Health,2578690,3763.74,2021-10-24,Active
PC00271-01,C00271,Health,1734386,2625.33,2018-08-16,Active
PC00271-02,C00271,Accident,919571,903.86,2020-06-23,Active
PC00271-03,C00271,Accident,2346506,3908.46,2020-07-25,Active
PC00272-01,C00272,Health,441021,257.39,2019-06-27,Active
PC00272-02,C00272,Life,2513903,4307.67,2020-10-16,Active
PC00273-01,C00273,Health,4306134,4883.83,2021-10-16,Active
PC00273-02,C00273,Investment,922741,1755.04,2018-07-11,Active
PC00274-01,C00274,Life,3382253,2540.48,2020-01-29,Active
PC00274-02,C00274,Life,3866362,5151.96,2022-10-13,Active
PC00274-03,C00274,Health,1253612,2371.23,2022-11-28,Active
PC00275-01,C00275,Accident,1192589,1512.81,2020-04-20,Active
PC00276-01,C00276,Accident,2299497,1169.68,2019-12-07,Active
PC00276-02,C00276,Life,2258707,3349.31,2020-10-19,Active
PC00277-01,C00277,Health,3402408,3197.85,2019-07-08,Active
PC00278-01,C00278,Health,1650072,1319.85,2019-04-14,Active
PC00278-02,C00278,Health,1550836,836.48,2022-10-04,Active
PC00278-03,C00278,Life,2134546,3643.35,2022-07-22,Active
PC00279-01,C00279,Life,1489248,807.43,2018-09-06,Active
PC00279-02,C00279,Life,3249692,3792.89,2022-01-30,Active
PC00280-01,C00280,Life,4198954,7543.2,2020-12-11,Active
PC00280-02,C00280,Health,1780633,2437.67,2018-03-01,Active
PC00280-03,C00280,Life,4870658,4823.18,2020-11-20,Active
PC00281-01,C00281,Life,1355702,1603.27,2020-11-20,Active
PC00282-01,C00282,Health,2168733,2367.1,2019-01-03,Active
PC00283-01,C00283,Health,4640471,2489.38,2021-04-19,Active
PC00284-01,C00284,Accident,261693,151.04,2022-08-01,Active
PC00285-01,C00285,Investment,4247293,5629.6,2021-11-12,Active
PC00286-01,C00286,Accident,4710138,5984.65,2019-06-17,Active
PC00287-01,C00287,Health,459652,721.99,2018-06-12,Active
PC00287-02,C00287,Investment,2106630,1462.01,2019-01-06,Active
PC00288-01,C00288,Life,414487,238.62,2018-12-31,Active
PC00289-01,C00289,Life,4236453,4608.77,2019-01-29,Lapsed
PC00289-02,C00289,Investment,1798648,1793.92,2022-02-13,Active
PC00289-03,C00289,Accident,4040133,2607.26,2020-01-29,Active
PC00290-01,C00290,Investment,4832041,6677.19,2021-08-22,Active
PC00291-01,C00291,Investment,1136455,1419.75,2019-05-11,Active
PC00292-01,C00292,Life,4929839,3289.77,2020-08-02,Active
PC00293-01,C00293,Health,4462379,7636.56,2022-11-22,Active
PC00294-01,C00294,Health,2808523,4590.49,2022-01-28,Active
PC00294-02,C00294,Health,1276457,1555.76,2019-07-08,Active
PC00294-03,C00294,Investment,2749275,4519.17,2021-03-20,Active
PC00295-01,C00295,Health,2074127,3527.91,2021-12-03,Active
PC00295-02,C00295,Investment,1202015,2084.96,2022-07-25,Active
PC00295-03,C00295,Accident,1774846,2036.52,2022-10-28,Active
PC00296-01,C00296,Investment,3542933,3378.85,2019-08-18,Active
PC00297-01,C00297,Health,4586537,7478.14,2018-09-23,Active
PC00297-02,C00297,Health,2607173,2544.34,2019-01-25,Active
PC00298-01,C00298,Investment,2235858,2105.84,2019-10-04,Active
PC00299-01,C00299,Health,4863900,7555.08,2018-09-24,Active
PC00299-02,C00299,Health,222892,393.9,2018-07-11,Active
PC00299-03,C00299,Accident,2592152,1813.37,2022-06-10,Active
PC00300-01,C00300,Accident,2352868,1432.9,2020-03-18,Active
PC00300-02,C00300,Health,1680440,877.43,2020-11-04,Active
PC00301-01,C00301,Health,2552951,4024.14,2022-05-29,Active
PC00302-01,C00302,Health,1852280,2134.37,2021-04-16,Active
PC00302-02,C00302,Accident,1673278,1025.17,2021-07-10,Active
PC00303-01,C00303,Investment,3873425,3693.98,2022-03-16,Active
PC00303-02,C00303,Investment,4789741,2583.37,2019-09-21,Active
PC00304-01,C00304,Health,432197,220.78,2018-08-31,Active
PC00304-02,C00304,Investment,1656650,1585.63,2021-05-25,Active
PC00305-01,C00305,Investment,1951688,1790.62,2021-12-18,Active
PC00305-02,C00305,Life,1429230,1355.13,2020-02-02,Active
PC00306-01,C00306,Accident,4099470,7629.17,2021-08-19,Active
PC00306-02,C00306,Accident,1736661,1572.12,2018-09-19,Active
PC00307-01,C00307,Investment,2240291,1993.84,2018-01-11,Active
PC00307-02,C00307,Life,1391554,1860.97,2018-04-26,Active
PC00307-03,C00307,Accident,2931842,4043.65,2018-01-26,Active
PC00308-01,C00308,Health,3015237,5353.34,2019-02-26,Active
PC00309-01,C00309,Investment,4729841,8351.64,2020-04-15,Active
PC00309-02,C00309,Accident,3349155,5567.04,2022-08-11,Active
PC00310-01,C00310,Investment,3784580,3417.34,2018-10-31,Active
PC00311-01,C00311,Investment,4552261,6448.8,2022-02-14,Active
PC00311-02,C00311,Accident,3055365,5372.34,2020-02-10,Active
PC00312-01,C00312,Accident,781374,1129.26,2022-02-04,Active
PC00313-01,C00313,Life,2901922,2567.71,2022-07-30,Active
PC00313-02,C00313,Health,2276676,2171.85,2022-02-26,Active
PC00313-03,C00313,Accident,834307,677.65,2018-02-22,Active
PC00314-01,C00314,Life,2649421,1491.03,2022-04-17,Active
PC00314-02,C00314,Investment,3294293,2154.38,2020-11-07,Active
PC00315-01,C00315,Life,1248467,2410.2,2022-04-25,Active
PC00315-02,C00315,Health,1071391,1640.85,2021-12-07,Active
PC00316-01,C00316,Life,1027027,941.47,2020-05-28,Active
PC00316-02,C00316,Accident,565815,441.67,2019-07-01,Active
PC00317-01,C00317,Accident,1393714,2749.86,2019-06-22,Cancelled
PC00317-02,C00317,Life,3383807,6706.36,2021-03-10,Active
PC00317-03,C00317,Accident,596667,577.6,2022-06-19,Active
PC00318-01,C00318,Health,600891,809.48,2021-08-12,Active
PC00318-02,C00318,Life,3419400,4965.01,2022-12-14,Active
PC00319-01,C00319,Investment,3214160,3408.4,2022-02-28,Active
PC00320-01,C00320,Life,3884760,7617.94,2019-03-29,Active
PC00320-02,C00320,Investment,479558,919.51,2019-10-19,Active
PC00321-01,C00321,Health,2372587,2264.32,2020-04-08,Active
PC00321-02,C00321,Life,396596,293.2,2018-09-16,Active
PC00321-03,C00321,Life,3473716,1843.73,2021-08-20,Active
PC00322-01,C00322,Investment,3299041,3804.2,2021-02-21,Active
PC00322-02,C00322,Investment,2710933,4322.64,2020-03-31,Active
PC00322-03,C00322,Health,286888,386.45,2020-02-07,Active
PC00323-01,C00323,Health,301870,502.34,2022-09-01,Active
PC00323-02,C00323,Investment,3378501,6749.18,2021-12-09,Lapsed
PC00323-03,C00323,Investment,2392009,2771.26,2021-10-09,Active
PC00324-01,C00324,Accident,2763557,2910.27,2021-07-02,Cancelled
PC00324-02,C00324,Health,3366099,3989.37,2020-11-19,Active
PC00324-03,C00324,Accident,2835492,5042.79,2018-11-15,Active
PC00325-01,C00325,Investment,1195534,873.23,2020-01-26,Active
PC00326-01,C00326,Health,3091929,3622.06,2020-01-21,Active
PC00326-02,C00326,Accident,2408951,1306.51,2018-09-26,Active
PC00326-03,C00326,Accident,3829360,3261.98,2020-07-16,Active
PC00327-01,C00327,Accident,2345403,4244.8,2019-06-04,Active
PC00327-02,C00327,Investment,2449053,1847.0,2022-01-14,Active
PC00327-03,C00327,Health,1939778,1700.2,2019-11-08,Active
PC00328-01,C00328,Life,2381204,4522.96,2020-05-05,Active
PC00329-01,C00329,Life,1416277,1697.12,2022-04-26,Active
PC00329-02,C00329,Health,4030318,6850.91,2021-02-13,Active
PC00330-01,C00330,Life,4408810,2316.16,2018-07-28,Active
PC00330-02,C00330,Accident,450484,289.52,2020-07-29,Active
PC00331-01,C00331,Accident,4361828,4801.95,2020-09-29,Active
PC00331-02,C00331,Health,2529676,2306.2,2021-05-20,Active
PC00331-03,C00331,Health,2083773,2556.52,2021-08-10,Active
PC00332-01,C00332,Health,788171,464.34,2019-06-22,Active
PC00332-02,C00332,Health,1733181,2105.78,2019-07-30,Active
PC00332-03,C00332,Investment,3416142,5584.51,2019-05-26,Active
PC00333-01,C00333,Accident,4089417,2472.26,2021-02-18,Active
PC00333-02,C00333,Life,1241931,2272.54,2022-12-01,Active
PC00334-01,C00334,Life,2246979,3579.23,2020-11-11,Active
PC00334-02,C00334,Investment,2100396,3833.3,2018-04-14,Active
PC00335-01,C00335,Investment,1718067,2088.05,2021-03-10,Active
PC00335-02,C00335,Health,3604434,1904.24,2018-08-26,Active
PC00335-03,C00335,Investment,3706046,5966.61,2022-09-25,Active
PC00336-01,C00336,Investment,3382111,4844.91,2020-07-21,Active
PC00337-01,C00337,Investment,513793,646.63,2019-11-21,Cancelled
PC00337-02,C00337,Accident,3642645,4574.09,2018-07-06,Active
PC00337-03,C00337,Life,3595351,2906.8,2020-02-15,Active
PC00338-01,C00338,Health,4967984,5140.93,2021-10-18,Active
PC00338-02,C00338,Life,539427,1070.92,2020-02-05,Active
PC00339-01,C00339,Life,4294836,4726.02,2022-02-16,Active
PC00339-02,C00339,Accident,447329,496.8,2022-09-13,Active
PC00339-03,C00339,Health,3025429,4127.96,2018-01-10,Active
PC00340-01,C00340,Health,3415690,1801.2,2020-08-26,Active
PC00340-02,C00340,Life,2943754,4021.87,2021-02-24,Active
PC00341-01,C00341,Health,2943342,3597.03,2022-02-28,Active
PC00341-02,C00341,Life,265345,269.48,2021-05-16,Active
PC00342-01,C00342,Health,4382768,6830.04,2022-07-12,Active
PC00342-02,C00342,Life,2387688,1865.69,2020-01-22,Active
PC00342-03,C00342,Investment,3476979,3623.87,2020-10-17,Active
PC00343-01,C00343,Investment,712123,625.72,2022-01-30,Active
PC00343-02,C00343,Health,483145,485.83,2018-05-26,Active
PC00343-03,C00343,Health,143432,175.92,2018-06-02,Active
PC00344-01,C00344,Accident,334621,376.37,2022-07-28,Active
PC00345-01,C00345,Health,2426848,3355.97,2022-09-27,Active
PC00345-02,C00345,Life,1248982,755.59,2020-08-22,Active
PC00345-03,C00345,Accident,1913877,1218.2,2018-02-26,Active
PC00346-01,C00346,Investment,4300673,8205.52,2019-12-30,Active
PC00346-02,C00346,Accident,4949239,3568.2,2021-11-28,Active
PC00347-01,C00347,Health,4893119,4448.54,2019-04-23,Active
PC00347-02,C00347,Accident,4673966,5080.38,2021-04-14,Active
PC00347-03,C00347,Life,304943,280.87,2019-12-25,Active
PC00348-01,C00348,Accident,4942968,6505.31,2020-12-11,Active
PC00348-02,C00348,Health,4370308,6450.25,2021-02-02,Active
PC00348-03,C00348,Life,4348908,8641.22,2020-02-27,Active
PC00349-01,C00349,Investment,4334439,5664.5,2019-06-01,Active
PC00349-02,C00349,Investment,410988,457.43,2022-10-06,Active
PC00349-03,C00349,Investment,2547966,4702.74,2019-01-12,Active
PC00350-01,C00350,Accident,808627,1093.5,2019-06-08,Active
PC00351-01,C00351,Life,1889064,3540.25,2019-04-03,Active
PC00352-01,C00352,Health,4787035,7309.89,2021-11-16,Active
PC00353-01,C00353,Health,1166829,2307.96,2020-09-24,Active
PC00353-02,C00353,Accident,4482664,6387.82,2021-08-24,Active
PC00353-03,C00353,Life,4696048,6561.55,2022-08-07,Active
PC00354-01,C00354,Life,3882671,5358.66,2021-11-13,Active
PC00354-02,C00354,Health,2935234,2298.92,2021-08-30,Active
PC00355-01,C00355,Investment,4193888,5040.58,2022-03-02,Active
PC00355-02,C00355,Life,4015959,6315.62,2018-02-20,Active
PC00355-03,C00355,Accident,3044426,4523.06,2020-08-23,Active
PC00356-01,C00356,Life,3866467,5386.21,2022-09-20,Lapsed
PC00356-02,C00356,Health,3333897,6338.5,2019-11-29,Active
PC00356-03,C00356,Accident,1540998,1247.43,2019-12-25,Active
PC00357-01,C00357,Health,3774612,6866.82,2020-05-07,Active
PC00357-02,C00357,Health,4256685,3062.91,2019-08-09,Active
PC00358-01,C00358,Life,2147779,2095.79,2019-08-08,Active
PC00359-01,C00359,Accident,1235077,728.83,2019-11-12,Active
PC00360-01,C00360,Life,4095433,4374.15,2020-02-12,Active
PC00361-01,C00361,Health,598660,699.77,2019-10-03,Active
PC00361-02,C00361,Investment,3250079,2914.78,2020-02-09,Active
PC00361-03,C00361,Health,179711,94.15,2019-11-22,Active
PC00362-01,C00362,Life,1208690,819.66,2020-08-17,Active
PC00362-02,C00362,Investment,1995809,1383.93,2021-10-13,Active
PC00363-01,C00363,Investment,4235953,3032.55,2019-12-13,Active
PC00364-01,C00364,Health,3380894,2447.86,2019-11-01,Active
PC00365-01,C00365,Investment,4146822,2206.14,2022-12-02,Active
PC00365-02,C00365,Accident,1195783,2269.81,2020-04-19,Active
PC00366-01,C00366,Health,4074829,5072.77,2018-11-11,Active
PC00366-02,C00366,Life,3251733,6194.67,2022-03-01,Active
PC00366-03,C00366,Life,1343419,1630.43,2022-12-10,Active
PC00367-01,C00367,Health,401573,326.04,2018-08-02,Active
PC00368-01,C00368,Life,4511902,8347.98,2021-01-14,Active
PC00368-02,C00368,Investment,1512804,856.48,2022-11-28,Active
PC00368-03,C00368,Accident,2774414,4767.13,2021-06-26,Active
PC00369-01,C00369,Life,2169653,3689.26,2020-03-26,Active
PC00369-02,C00369,Health,2407754,2954.59,2022-01-09,Active
PC00369-03,C00369,Investment,936700,1809.26,2022-03-21,Active
PC00370-01,C00370,Health,3113354,3643.51,2018-06-26,Active
PC00370-02,C00370,Life,3423048,4493.23,2018-12-08,Active
PC00370-03,C00370,Accident,2839941,2160.94,2020-11-29,Active
PC00371-01,C00371,Health,4355570,4379.37,2022-09-06,Active
PC00371-02,C00371,Accident,1097763,1936.43,2022-12-11,Active
PC00372-01,C00372,Accident,4577916,6554.83,2019-05-27,Active
PC00372-02,C00372,Investment,2684640,2825.86,2018-09-22,Active
PC00373-01,C00373,Life,4781201,7884.68,2022-11-12,Active
PC00373-02,C00373,Health,1741715,1935.61,2022-04-22,Active
PC00373-03,C00373,Health,3920621,2436.44,2018-03-30,Active
PC00374-01,C00374,Investment,3541176,6818.49,2020-04-27,Active
PC00374-02,C00374,Investment,2356743,4452.08,2018-11-30,Active
PC00375-01,C00375,Health,3679328,3941.12,2021-03-17,Active
PC00375-02,C00375,Investment,1976337,3423.09,2018-02-09,Active
PC00375-03,C00375,Accident,1199080,1533.51,2022-02-13,Active
PC00376-01,C00376,Accident,2482676,3613.92,2019-09-18,Active
PC00376-02,C00376,Investment,1456949,1948.58,2022-12-26,Active
PC00376-03,C00376,Investment,431618,359.85,2018-12-18,Active
PC00377-01,C00377,Health,2837652,4356.9,2019-05-07,Active
PC00377-02,C00377,Investment,4131151,5903.13,2021-02-17,Active
PC00378-01,C00378,Health,2244848,1965.96,2018-11-17,Active
PC00378-02,C00378,Life,3750349,3820.65,2019-09-24,Active
PC00378-03,C00378,Accident,1382992,2443.17,2022-01-14,Active
PC00379-01,C00379,Investment,4976067,6576.32,2021-12-05,Active
PC00380-01,C00380,Life,3354321,6363.88,2018-03-29,Active
PC00380-02,C00380,Accident,3733927,2982.4,2018-09-06,Active
PC00380-03,C00380,Health,196650,125.61,2018-04-08,Active
PC00381-01,C00381,Health,2174778,2617.75,2022-02-26,Active
PC00382-01,C00382,Life,155705,106.9,2020-05-16,Active
PC00382-02,C00382,Life,2498635,4483.21,2022-12-08,Active
PC00383-01,C00383,Life,4978681,8083.21,2019-08-08,Active
PC00383-02,C00383,Accident,2590629,4643.51,2019-09-19,Active
PC00384-01,C00384,Investment,4554760,4137.44,2019-02-18,Active
PC00385-01,C00385,Health,2371495,2706.9,2019-10-04,Active
PC00385-02,C00385,Health,4103197,4704.22,2021-09-24,Active
PC00386-01,C00386,Health,1010610,1830.05,2018-06-10,Active
PC00386-02,C00386,Investment,4039909,8075.94,2020-10-06,Active
PC00387-01,C00387,Accident,131288,149.0,2018-06-14,Active
PC00388-01,C00388,Health,1225820,1631.2,2020-07-14,Active
PC00388-02,C00388,Health,499318,374.68,2020-12-03,Active
PC00388-03,C00388,Life,1285743,2313.52,2021-09-29,Active
PC00389-01,C00389,Accident,3106616,6073.12,2021-09-01,Active
PC00390-01,C00390,Accident,3490610,5647.28,2018-06-04,Active
PC00390-02,C00390,Accident,3852655,5604.85,2020-09-08,Active
PC00391-01,C00391,Accident,1384123,1348.97,2018-11-08,Active
PC00391-02,C00391,Investment,4465435,4495.56,2021-07-28,Active
PC00392-01,C00392,Health,3930141,4412.29,2018-06-12,Active
PC00393-01,C00393,Health,2837277,2136.24,2020-01-05,Active
PC00393-02,C00393,Life,1421508,2203.35,2018-03-02,Active
PC00394-01,C00394,Investment,640194,419.21,2020-01-17,Active
PC00394-02,C00394,Life,2524888,1338.63,2021-11-02,Active
PC00394-03,C00394,Life,3865398,4158.78,2019-11-21,Active
PC00395-01,C00395,Health,3435475,4506.13,2020-02-11,Active
PC00395-02,C00395,Life,2296550,2784.13,2019-03-17,Active
PC00395-03,C00395,Accident,940573,1152.86,2022-08-13,Active
PC00396-01,C00396,Health,1253901,2253.83,2018-03-21,Active
PC00396-02,C00396,Life,211693,245.29,2020-08-07,Active
PC00397-01,C00397,Life,1855168,1904.43,2021-11-06,Active
PC00397-02,C00397,Investment,3356997,3705.31,2021-06-22,Active
PC00398-01,C00398,Life,4933430,6664.51,2018-01-14,Active
PC00399-01,C00399,Investment,3461517,5908.5,2018-02-14,Active
PC00399-02,C00399,Investment,4153488,5996.05,2019-02-26,Active
PC00400-01,C00400,Investment,3663229,3838.81,2022-06-24,Active
PC00400-02,C00400,Health,199693,183.09,2022-10-30,Active
PC00400-03,C00400,Accident,3057609,3930.31,2019-03-24,Active
PC00401-01,C00401,Investment,4934570,6649.07,2019-11-24,Active
PC00402-01,C00402,Accident,266190,272.15,2021-02-05,Active
PC00403-01,C00403,Health,288187,281.1,2021-02-05,Active
PC00403-02,C00403,Health,2053243,3984.97,2021-11-16,Active
PC00404-01,C00404,Life,3695717,2970.44,2022-06-10,Active
PC00404-02,C00404,Investment,3932230,5794.89,2022-08-17,Active
PC00404-03,C00404,Life,4623542,3590.9,2019-01-28,Active
PC00405-01,C00405,Accident,3421699,6639.85,2020-07-28,Active
PC00406-01,C00406,Accident,3708683,4852.38,2019-12-11,Active
PC00406-02,C00406,Health,2870761,4244.84,2018-06-20,Active
PC00407-01,C00407,Health,1491154,2273.38,2021-03-20,Active
PC00407-02,C00407,Health,4311193,6471.28,2020-08-02,Active
PC00407-03,C00407,Life,688973,965.92,2019-06-13,Active
PC00408-01,C00408,Life,4182168,2819.22,2022-05-29,Active
PC00408-02,C00408,Health,2450062,1720.88,2019-12-13,Active
PC00409-01,C00409,Investment,775009,1457.78,2021-11-27,Active
PC00409-02,C00409,Investment,763528,1330.2,2018-08-06,Active
PC00409-03,C00409,Investment,4193713,3567.99,2020-08-24,Active
PC00410-01,C00410,Health,3469120,4510.69,2021-01-21,Active
PC00410-02,C00410,Accident,225459,257.93,2022-08-30,Active
PC00410-03,C00410,Life,4053045,3097.06,2020-04-26,Active
PC00411-01,C00411,Accident,1353119,1254.81,2021-07-25,Active
PC00411-02,C00411,Accident,4336516,3093.67,2021-06-06,Active
PC00412-01,C00412,Life,3032991,5887.42,2021-02-18,Active
PC00413-01,C00413,Accident,4718687,4707.7,2021-02-02,Active
PC00414-01,C00414,Life,3816012,6674.1,2022-06-07,Active
PC00414-02,C00414,Investment,3752397,2880.79,2020-01-07,Active
PC00414-03,C00414,Accident,2116566,3885.34,2021-06-19,Active
PC00415-01,C00415,Investment,4629202,2824.34,2018-02-26,Active
PC00416-01,C00416,Life,242820,424.64,2018-01-20,Active
PC00416-02,C00416,Health,330428,602.46,2022-04-26,Active
PC00416-03,C00416,Life,3489253,4912.11,2020-06-01,Active
PC00417-01,C00417,Accident,2391687,1670.43,2020-08-21,Active
PC00418-01,C00418,Life,2016241,2887.8,2019-03-22,Active
